FECHA,PAÍS,DEPARTAMENTO,MUNICIPIO,DELITO,PAIS VÍCTIMA,GENERO,ZONA,CIRCUNSTANCIASPERSONA
6/28/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 111. LESIONES PERSONALES,SUIZA,MASCULINO,URBANA,SUIZA
6/28/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,SUIZA,MASCULINO,URBANA,SUIZA
6/27/22,,MAGDALENA,CIÉNAGA,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
6/26/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
6/25/22,,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
6/25/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
6/23/22,,VALLE,CALI (CT),ARTÍCULO 239. HURTO PERSONAS,GUATEMALA,MASCULINO,URBANA,GUATEMALA
6/22/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESPAÑA,FEMENINO,URBANA,ESPAÑA
6/21/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ALEMANIA,MASCULINO,URBANA,ALEMANIA
6/19/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
6/15/22,,AMAZONAS,LETICIA (CT),ARTÍCULO 103. HOMICIDIO,HOLANDA,FEMENINO,URBANA,HOLANDA
6/15/22,,AMAZONAS,LETICIA (CT),ARTÍCULO 239. HURTO PERSONAS,HOLANDA,MASCULINO,URBANA,HOLANDA
6/15/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,DINAMARCA,MASCULINO,URBANA,DINAMARCA
6/15/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,REINO UNIDO,FEMENINO,URBANA,REINO UNIDO
6/13/22,,VALLE,CALI (CT),ARTÍCULO 239. HURTO PERSONAS,AUSTRALIA,MASCULINO,URBANA,AUSTRALIA
6/13/22,,VALLE,CALI (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
6/11/22,,VALLE,CALI (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
6/11/22,,VALLE,CALI (CT),ARTÍCULO 239. HURTO PERSONAS,ESPAÑA,MASCULINO,URBANA,ESPAÑA
6/10/22,,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,ESLOVENIA,MASCULINO,URBANA,ESLOVENIA
6/4/22,,ANTIOQUIA,SANTA ROSA DE OSOS,ARTÍCULO 103. HOMICIDIO,ESTADOS UNIDOS,MASCULINO,RURAL,ESTADOS UNIDOS
6/1/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,MEXICO,MASCULINO,URBANA,MEXICO
5/31/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,SUIZA,MASCULINO,URBANA,SUIZA
5/18/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
5/16/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 111. LESIONES PERSONALES,ITALIA,MASCULINO,URBANA,ITALIA
5/16/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
5/14/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,JAPON,MASCULINO,URBANA,JAPON
5/13/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ALEMANIA,MASCULINO,URBANA,ALEMANIA
5/12/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,BRASIL,MASCULINO,URBANA,BRASIL
5/9/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
5/8/22,,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,FEMENINO,URBANA,ESTADOS UNIDOS
5/8/22,,HUILA,GIGANTE,ARTÍCULO 239. HURTO PERSONAS,ESPAÑA,MASCULINO,URBANA,ESPAÑA
5/8/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
5/8/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
5/7/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
5/6/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,MASCULINO,URBANA,FRANCIA
5/6/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,MASCULINO,URBANA,FRANCIA
5/5/22,,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
5/3/22,,MAGDALENA,CIÉNAGA,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
5/2/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/30/22,,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,ISRAEL,MASCULINO,URBANA,ISRAEL
4/30/22,,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,REPUBLICA DOMINICANA,MASCULINO,URBANA,REPUBLICA DOMINICANA
4/30/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,FEMENINO,URBANA,ESTADOS UNIDOS
4/30/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,HOLANDA,MASCULINO,URBANA,HOLANDA
4/28/22,,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/28/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
4/25/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
4/23/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/22/22,,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
4/22/22,,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
4/19/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,CANADA,FEMENINO,URBANA,CANADA
4/18/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
4/17/22,,HUILA,SAN AGUSTÍN,ARTÍCULO 239. HURTO MOTOCICLETAS,ALEMANIA,FEMENINO,RURAL,ALEMANIA
4/17/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/16/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO AUTOMOTORES,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/16/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/15/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
4/15/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/15/22,,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
4/14/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
4/14/22,,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 111. LESIONES PERSONALES,COLOMBIA,FEMENINO,URBANA,COLOMBIA
4/14/22,,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 111. LESIONES PERSONALES,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/14/22,,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
4/14/22,,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/13/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/12/22,,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,RURAL,COLOMBIA
4/11/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
4/11/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/11/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/11/22,,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
4/10/22,,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/10/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
4/10/22,,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
4/8/22,,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
4/7/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ISRAEL,MASCULINO,URBANA,ISRAEL
4/6/22,,VALLE,CALI (CT),ARTÍCULO 111. LESIONES PERSONALES,ESTADOS UNIDOS,MASCULINO,RURAL,ESTADOS UNIDOS
4/4/22,,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,MEXICO,MASCULINO,URBANA,MEXICO
4/3/22,,VALLE,CALI (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,FEMENINO,URBANA,FRANCIA
4/3/22,,VALLE,CALI (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,MASCULINO,URBANA,FRANCIA
4/2/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/1/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
3/30/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ITALIA,MASCULINO,URBANA,ITALIA
3/27/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
3/27/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
3/25/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
3/25/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
3/21/22,,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
3/20/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
3/20/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
3/18/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
3/16/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
3/12/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,RURAL,COLOMBIA
3/11/22,,ATLÁNTICO,MALAMBO,ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,FEMENINO,RURAL,VENEZUELA
3/11/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
3/10/22,,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
